% Monthly averaged 2data for station ALT       
%
% /data/instrument/database_active/curves/altc.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1989.0384     0.0000     0.0000   359.2980   355.4081    0
1989.1233     0.0000     0.0000   360.0110   355.4743    0
1989.2000     0.0000     0.0000   360.5668   355.5340    0
1989.2849     0.0000     0.0000   360.7729   355.6002    0
1989.3671     0.0000     0.0000   360.9841   355.6642    0
1989.4521     0.0000     0.0000   358.8733   355.7303    0
1989.5342     0.0000     0.0000   352.1785   355.7943    0
1989.6192     0.0000     0.0000   345.8014   355.8605    0
1989.7041     0.0000     0.0000   346.1544   355.9266    0
1989.7863     0.0000     0.0000   350.7427   355.9906    0
1989.8712   354.2649   354.7835   355.5381   356.0567    1
1989.9534   359.9452   357.3823   358.6836   356.1207    1
1990.0384     0.0000     0.0000   360.0765   356.1866    0
1990.1233     0.0000     0.0000   360.7889   356.2522    0
1990.2000     0.0000     0.0000   361.3441   356.3113    0
1990.2849     0.0000     0.0000   361.5490   356.3763    0
1990.3671     0.0000     0.0000   361.7589   356.4390    0
1990.4521     0.0000     0.0000   359.6463   356.5034    0
1990.5342     0.0000     0.0000   352.9496   356.5654    0
1990.6192     0.0000     0.0000   346.5702   356.6292    0
1990.7041     0.0000     0.0000   346.9205   356.6927    0
1990.7863     0.0000     0.0000   351.5058   356.7538    0
1990.8712     0.0000     0.0000   356.2980   356.8166    0
1990.9534     0.0000     0.0000   359.4398   356.8770    0
1991.0384     0.0000     0.0000   360.8289   356.9390    0
1991.1233     0.0000     0.0000   361.5374   357.0007    0
1991.2000     0.0000     0.0000   362.0889   357.0561    0
1991.2849   361.3047   356.1320   362.2898   357.1171    1
1991.3671   361.5606   356.2406   362.4957   357.1757    2
1991.4521   360.1091   356.9662   360.3782   357.2352    1
1991.5342   353.9588   357.5746   353.6746   357.2904    2
1991.6192   347.6708   357.7298   347.2841   357.3431    3
1991.7041   348.8473   358.6195   347.6179   357.3901    1
1991.7863   352.2360   357.4839   352.1812   357.4291    1
1991.8712   357.4145   357.9331   356.9439   357.4625    2
1991.9534   360.9170   358.3541   360.0509   357.4880    2
1992.0383   360.3500   356.4611   361.3967   357.5078    1
1992.1230   361.9759   357.4419   362.0558   357.5218    2
1992.2022   362.6341   357.5933   362.5718   357.5310    2
1992.2869   362.5755   357.3993   362.7141   357.5378    2
1992.3689   362.9150   357.6007   362.8563   357.5421    2
1992.4536   361.7351   358.6769   360.6030   357.5448    2
1992.5355   353.9508   357.6892   353.8083   357.5467    2
1992.6202   347.2100   357.3104   347.4492   357.5496    3
1992.7049   347.7134   357.4529   347.8162   357.5557    2
1992.7869   351.4837   356.6962   352.3541   357.5666    2
1992.8716   357.3057   357.8074   357.0830   357.5847    3
1992.9536   360.3488   357.7826   360.1760   357.6099    2
1993.0384   360.3626   356.4727   361.5338   357.6440    1
1993.1233   361.6761   357.1394   362.2238   357.6871    2
1993.2000   362.1125   357.0797   362.7669   357.7341    2
1993.2849   363.4182   358.2455   362.9676   357.7949    3
1993.3671   363.1452   357.8253   363.1818   357.8619    2
1993.4521   360.8521   357.7091   361.0823   357.9394    2
1993.5342   354.2448   357.8607   354.4065   358.0223    2
1993.6192   348.4921   358.5512   348.0571   358.1162    4
1993.7041   348.7226   358.4948   348.4463   358.2185    2
1993.7863   353.2534   358.5013   353.0780   358.3259    3
1993.8712   356.6780   357.1966   357.9278   358.4464    2
1993.9534   359.5722   357.0094   361.1358   358.5730    2
1994.0384   362.6882   358.7984   362.6037   358.7138    2
1994.1233   363.0958   358.5591   363.3997   358.8630    2
1994.2000   364.8860   359.8532   364.0359   359.0031    2
1994.2849   364.5648   359.3921   364.3349   359.1622    3
1994.3671   364.2869   358.9669   364.6390   359.3190    2
1994.4521   362.4829   359.3399   362.6259   359.4830    2
1994.5342   356.6895   360.3053   356.0264   359.6422    2
1994.6192   350.4489   360.5080   349.7467   359.8058    3
1994.7041   350.5836   360.3558   350.1956   359.9678    3
1994.7863   355.4532   360.7012   354.8756   360.1236    2
1994.8712   359.4716   359.9902   359.7662   360.2848    2
1994.9534   362.9816   360.4188   363.0053   360.4424    3
1995.0384   363.6273   359.7374   364.4986   360.6087    2
1995.1233   364.8620   360.3253   365.3165   360.7798    2
1995.2000   365.4337   360.4009   365.9715   360.9387    1
1995.2849   366.7003   361.5276   366.2923   361.1196    2
1995.3671   365.6151   360.2951   366.6191   361.2991    2
1995.4521   364.1254   360.9824   364.6318   361.4889    3
1995.5342   358.2488   361.8646   358.0593   361.6752    2
1995.6192   352.4264   362.4855   351.8092   361.8683    2
1995.7041   353.0327   362.8049   352.2880   362.0602    3
1995.7863   356.7184   361.9664   356.9957   362.2436    2
1995.8712   362.3797   362.8983   361.9119   362.4305    2
1995.9534   365.0046   362.4417   365.1717   362.6089    2
1996.0383   366.2274   362.3385   366.6796   362.7906    2
1996.1230   365.8510   361.3170   367.5039   362.9698    2
1996.2022   367.5575   362.5167   368.1759   363.1352    2
1996.2869   367.6041   362.4278   368.4839   363.3076    2
1996.3689   367.9221   362.6078   368.7814   363.4671    2
